CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME,IARE_CODE,IARE_NAME,IREG_CODE,IREG_NAME
MUTITJULU,-25.3490961,131.0642728,"Mutitjulu, Macdonnell Region, Northern Territory, 0872, Australia",70201105003,702011050,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709009,Mutitjulu - Uluru - Imanpa,709,Apatula
NGANMARRIYANGA,-14.3507558,129.8800459,"Nganmarriyanga, West Daly Region, Northern Territory, 0822, Australia",70203105804,702031058,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704001,Douglas-Daly,704,Jabiru - Tiwi
NGUIU,-11.7625858,130.6321091,"Wurrumiyanga, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106003,702031060,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704006,Tiwi Islands,704,Jabiru - Tiwi
NGUKURR,-14.732635,134.7432914,"Ngukurr, Roper Gulf Region, Northern Territory, 0852, Australia",70205106608,702051066,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705007,Ngukurr,705,Katherine
NHULUNBUY,-12.1804346,136.7759913,"Nhulunbuy, Northern Territory, 0880, Australia",70204106414,702041064,Nhulunbuy,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706005,Nhulunbuy - Gunyangara,706,Nhulunbuy
NUMBULWAR,-14.2780303,135.7421561,"Numbulwar, Roper Gulf Region, Northern Territory, 0822, Australia",70205106604,702051066,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,706006,Numbulwar and Outstations,706,Nhulunbuy
NYRIPPI,,,Not found,,,,,,,,,,,
OENPELLI,-12.324689,133.0536179,"Gunbalanya, West Arnhem Region, Northern Territory, 0822, Australia",70203106101,702031061,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704004,North-West Arnhem,704,Jabiru - Tiwi
PALMERSTON,-12.4799608,130.9844108,"Palmerston, City of Palmerston, Northern Territory, 0830, Australia",70104104110,701041041,Palmerston - North,Palmerston,Darwin,Greater Darwin,Northern Territory,703013,Palmerston,703,Darwin
PAPUNYA,-23.2049554,131.9122492,"Papunya, Macdonnell Region, Northern Territory, 0872, Australia",70201105305,702011053,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709011,Papunya and Outstations,709,Apatula
PEPPIMENARTI,-14.1505822,130.0763736,"Peppimenarti, West Daly Region, Northern Territory, 0822, Australia",70203105805,702031058,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704001,Douglas-Daly,704,Jabiru - Tiwi
PIGEON HOLE,-16.7851075,131.2217968,"Pigeon Hole, Victoria Daly Region, Northern Territory, 0852, Australia",70205106804,702051068,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705009,Walangeri,705,Katherine
PINE CREEK,-13.8240162,131.835484,"Pine Creek, Victoria Daly Region, Northern Territory, 0847, Australia",70203105803,702031058,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704001,Douglas-Daly,704,Jabiru - Tiwi
