CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME
"Garrthalala, NT, Australia",-12.7628817,136.5683978,"Garrthalala, East Arnhem Region, Northern Territory, Australia",70204106304.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Gove, NT, Australia",-12.2913985,136.8472845,"Rio Tinto Alcan Gove Mine Lease, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106316.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Gunyangara, NT, Australia",-12.2178045,136.705234,"Gunyangara, East Arnhem Region, Northern Territory, 0880, Australia",70204106311.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Gurrumurru, NT, Australia",,,Not found,,,,,,,
"Gutjangan, NT, Australia",-12.0836882,136.8087475,"Gutjangan, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106317.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Haasts Bluff, NT, Australia",-23.4473032,131.8821633,"Haasts Bluff, Macdonnell Region, Northern Territory, 0872, Australia",70201105306.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Harts Range, NT, Australia",-14.69663,134.26176,"Harts Range, Roper Gulf Region, Northern Territory, Australia",70205106503.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Hermannsburg, NT, Australia",-23.9427685,132.7794582,"Hermannsburg, Macdonnell Region, Northern Territory, 0872, Australia",70201105313.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Imanpa, NT, Australia",-25.1161185,132.5681821,"Imanpa, Macdonnell Region, Northern Territory, 0872, Australia",70201105005.0,702011050.0,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Jabiru, NT, Australia",-12.6738286,132.8365938,"Jabiru, West Arnhem Region, Northern Territory, 0886, Australia",70203105705.0,702031057.0,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Jilkminggan, NT, Australia",-14.9667405,133.2929105,"Jilkminggan, Roper Gulf Region, Northern Territory, 0852, Australia",70205106507.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Kalkaringi, NT, Australia",-17.4271985,130.8104309,"Kalkaringi Airport, Nampin Road, Kalkarindji, Victoria Daly Region, Northern Territory, Australia",70205106805.0,702051068.0,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Katherine, NT, Australia",-14.4646157,132.2635993,"Katherine, Town of Katherine, Northern Territory, 0850, Australia",70205106703.0,702051067.0,Katherine,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Kings Canyon, NT, Australia",-24.2502905,131.5781772,"Kings Canyon, Petermann, Macdonnell Region, Northern Territory, Australia",70201105013.0,702011050.0,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Kintore, NT, Australia",-23.2759057,129.3881877,"Kintore, Macdonnell Region, Northern Territory, 0872, Australia",70201105303.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Lajamanu, NT, Australia",-18.3357828,130.6359219,"Lajamanu, Central Desert Region, Northern Territory, 0852, Australia",70205106807.0,702051068.0,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
